ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000133056	PIK3C2B	3.8037400081493	2.3043994466203	3.97038511779351	1.75574196196673	3.41092421891812	2.85303229145373	3.8605606145633	3.6429951480503	3.69455011029497	3.37428792942534	3.64278964954596	2.68766108509033	2.5718504036514	1.89515800526065	4.32562124927863	2.28334607080139	3.64880866942327	2.42797748301139	1.8888244024528	2.6189868524627	3.43087354785275	3.16082391514498	3.65897776549749	4.07480724518336	4.12034447229863	3.30656211683515	2.2109611249473	3.90900439647714	4.13615134240286	4.14381094582985
ENSG00000198625	MDM4	4.2129780548611	3.51164824999089	4.24862600287595	3.68119605727399	3.93066423966183	3.05520605250399	4.35583172893111	4.80312094424077	4.03609429151983	3.84805962405941	4.70045201107478	2.81546608797197	3.23198736777801	2.96419773276073	4.54373026754972	2.93593096273678	4.85591582185241	4.93705461517477	3.34311389920194	4.55344598076626	4.41159718667922	3.89804279553937	4.28956276285225	4.42151004855586	4.90141011432021	3.80069679469048	4.20956244505074	4.79623431698445	4.7606981655982	4.34255003915399
ENSG00000170382	LRRN2	1.9195992184038	1.55111123840784	1.62040389417645	1.5171151210198	1.02046939930363	3.1139158384617	2.1292337779892	2.38794946576326	3.02321620464387	2.22782668031134	3.67957283887283	1.64985385860792	2.97124413235049	0.797510425076765	2.33800073642718	0.832253030494428	2.96421261560169	2.16550802464729	1.08315099860862	4.05548609712709	1.89798571809075	2.17155828165905	0.580054275840085	2.95009013444987	3.61611605957284	1.55018579107175	3.07113781515746	2.62526164534099	2.90330032510316	1.96425275016697
ENSG00000115504	EHBP1	4.81133216189971	3.71423322269214	4.51294532524347	1.51204988577151	4.30811959071575	4.09072333757939	4.53199386445426	5.18872305214843	4.78895643873301	4.89696611037342	4.95692752657461	2.55512722596066	3.03060763101782	3.67573781326238	3.7734083950357	2.56234538683878	5.67189500027687	5.44708292654654	2.52790615181308	4.1252963418559	4.14081753141574	4.0478348908769	4.38010949557157	3.83111372235826	2.73411891330424	3.6708207815672	5.14267118975368	4.17683134591056	5.35203125565061	4.86254906915207
ENSG00000115507	OTX1	0.161951351370761	0.0513142293425348	0.0395472033227764	1.18305553311172	0.0419342009367748	1.00766931349767	0.225325856076504	0.0914622550962493	0.065732515391882	0.488448994999924	0.194434001894585	0.0209580871813217	0.0374680941596433	0.0811975775239735	0.408616335463288	0.0235644954032983	0.240623145537754	0.115341564959016	0.251942217314418	0.0732590537974728	0.927192837510147	4.79310464676937	2.78224121376558	0.0569179017499514	0.314250340933077	0.344531435466519	0.919395889333348	0.11740413513875	0.0647530616915444	0.23557407487149
ENSG00000143951	WDPCP	1.59933177856224	1.02447827435477	1.20053694134974	0.532059798959294	1.61474232895174	1.01588939198494	1.54801832683163	1.67044818911535	0.977802680208187	0.870374014169105	1.7610713101648	1.01763974099138	0.866206954678849	0.458120723856695	1.38246463561212	0.976686850510911	1.76257950767372	1.81655136343409	0.525119296592931	1.58313647947561	1.16821820685974	1.06168087632922	1.33428588948418	0.880546113518933	1.00090744687632	1.03753081260718	1.80272483144359	1.56351544042596	1.77792888307405	1.27682994961304
ENSG00000014641	MDH1	5.66089366428228	5.66089272985621	5.66078324628283	4.31355973785447	5.67000010535626	5.56755068231715	5.66621334775842	5.6724253419715	5.66812448501801	5.64512434983937	5.6724253419715	5.56804840754251	5.6434942493803	5.41915115858293	5.59770085040973	5.66415071714435	5.67082311656883	5.66808729093647	4.5608292292942	5.6724253419715	5.61404783588216	5.66005973559335	5.65171145181909	5.66074986360462	5.64428302643026	5.66538727030008	5.60876404426282	5.66681402374175	5.66267344732596	5.65664608100219
ENSG00000168906	MAT2A	5.67226948650337	5.6724253419715	5.6724253419715	4.46999331080795	5.67232691036937	5.55035619390817	5.67197212150287	5.6724253419715	5.67096757126533	5.66985574930234	5.6724253419715	5.48550298455335	5.6151714878201	5.29131818334936	5.6724253419715	5.66317622131926	5.6724253419715	5.6724253419715	5.66648663250643	5.6724253419715	5.6724253419715	5.6724253419715	5.66768411689265	5.6724253419715	5.67149470192274	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.67214178423203
ENSG00000115486	GGCX	3.57189275106976	3.28699592307485	3.66779869803814	1.96391284705273	3.43728991741021	2.62826851307148	3.58254481578326	4.02236225927339	3.18124909797438	3.2013599721619	3.90455927991207	2.4228678899146	2.88842167877248	4.52620783803291	4.13811681273439	2.81373662117785	3.8902279489935	3.96421191724272	2.93947336661307	3.62157669952353	3.59126487863603	3.45795450958922	3.53060109179041	3.16210572908629	3.17879697764199	3.16479831279788	2.98608832735635	3.98570174869076	4.02925049839372	3.69938547908231
ENSG00000118640	VAMP8	5.43963243968269	4.87538603901666	5.31491921920693	5.56901615550013	4.47727992658436	2.90135742699672	5.47049087402411	4.65937930003062	4.93594914800228	4.8845500718887	5.14422931273121	3.28576711326395	5.6724253419715	5.63614080740751	5.66900012575707	3.33161231423651	4.93490498197235	3.74646835676419	5.65060426122064	5.35041996440067	5.6060608929772	5.66808612914819	4.48688435160329	5.56375633710655	5.6724253419715	5.41597453538542	5.07561453053253	5.6724253419715	4.29449291544614	5.44171000725637
