ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000133056	PIK3C2B	0.61265008086388	-0.886690480665128	0.779295190508081	-1.43534796531869	0.219834291632694	-0.33805763583169	0.669470687277879	0.451905220764875	0.503460183009549	0.18319800213992	0.451699722260538	-0.50342884219509	-0.619239523634025	-1.29593192202477	1.1345313219932	-0.90774385648403	0.457718742137845	-0.76311244427403	-1.30226552483263	-0.572103074822724	0.239783620567331	-0.0302660121404462	0.467887838212068	0.883717317897936	0.929254545013202	0.115472189549731	-0.980128802338126	0.717914469191713	0.945061415117435	0.952721018544431
ENSG00000198625	MDM4	0.350414341621419	-0.350915463248791	0.386062289636269	-0.18136765596569	0.0681005264221565	-0.80735766073569	0.493268015691433	0.940557231001095	0.173530578280149	-0.0145040891802637	0.837888297835104	-1.04709762526771	-0.630576345461671	-0.898365980478945	0.681166554310039	-0.926632750502897	0.993352108612727	1.07449090193509	-0.519449814037736	0.690882267526578	0.549033473439546	0.0354790822996906	0.426999049612572	0.558946335316181	1.03884640108053	-0.0618669185491991	0.346998731811065	0.933670603744771	0.89813445235852	0.479986325914308
ENSG00000170382	LRRN2	-0.115502593908752	-0.48399057390472	-0.41469791813611	-0.517986691292752	-1.01463241300893	1.07881402614915	0.094131965676648	0.352847653450701	0.988114392331318	0.192724867998785	1.64447102656028	-0.385247953704634	0.93614232003793	-1.23759138723579	0.30289892411462	-1.20284878181813	0.929110803289137	0.130406212334733	-0.951950813703934	2.02038428481453	-0.137116094221806	0.136456469346495	-1.45504753647247	0.91498832213731	1.58101424726029	-0.484916021240804	1.0360360028449	0.590159833028431	0.868198512790608	-0.0708490621455836
ENSG00000115504	EHBP1	0.769435221583776	-0.32766371762379	0.471048384927537	-2.52984705454442	0.266222650399816	0.0488263972634615	0.490096924138325	1.1468261118325	0.747059498417074	0.855069170057487	0.915030586258682	-1.48676971435527	-1.01128930929811	-0.366159127053551	-0.268488545280236	-1.47955155347715	1.62999805996094	1.40518598623061	-1.51399078850286	0.0833994015399735	0.0989205910998091	0.00593795056096928	0.338212555255641	-0.210783217957669	-1.30777802701169	-0.371076158748734	1.10077424943775	0.134934405594627	1.31013431533467	0.820652128836137
ENSG00000115507	OTX1	-0.537593793020785	-0.648230915049012	-0.65999794106877	0.483510388720172	-0.657610943454772	0.308124169106127	-0.474219288315043	-0.608082889295298	-0.633812628999665	-0.211096149391622	-0.505111142496962	-0.678587057210225	-0.662077050231904	-0.618347566867573	-0.290928808928259	-0.675980648988249	-0.458921998853793	-0.584203579432531	-0.447602927077129	-0.626286090594074	0.227647693118601	4.09355950237783	2.08269606937403	-0.642627242641595	-0.38529480345847	-0.355013708925028	0.219850744941802	-0.582141009252797	-0.634792082700002	-0.463971069520057
ENSG00000143951	WDPCP	0.403915253081683	-0.170938251125794	0.00512041586917639	-0.663356726521267	0.419325803471183	-0.179527133495626	0.352601801351069	0.47503166363479	-0.217613845272375	-0.325042511311456	0.565654784684241	-0.177776784489185	-0.329209570801712	-0.737295801623867	0.187048110131556	-0.218729674969651	0.567162982193156	0.621134837953526	-0.67029722888763	0.38771995399505	-0.0271983186208259	-0.133735649151336	0.138869364003617	-0.314870411961629	-0.194509078604245	-0.15788571287338	0.607308305963025	0.3680989149454	0.582512357593486	0.0814134241324737
ENSG00000014641	MDH1	0.118897203616358	0.118896269190284	0.118786785616902	-1.22843672281145	0.128003644690329	0.0255542216512273	0.124216887092493	0.130428881305569	0.126128024352084	0.103127889173441	0.130428881305569	0.0260519468765797	0.10149778871437	-0.122845302083	0.0557043897438017	0.122154256478427	0.128826655902901	0.126090830270543	-0.98116723137173	0.130428881305569	0.0720513752162299	0.11806327492742	0.109714991153165	0.118753402938694	0.102286565764334	0.123390809634152	0.0667675835968929	0.124817563075828	0.120676986660035	0.114649620336264
ENSG00000168906	MAT2A	0.0985283058429432	0.0986841613110654	0.0986841613110654	-1.10374786985248	0.0985857297089396	-0.0233849867522593	0.098230940842442	0.0986841613110654	0.0972263906049039	0.0961145686419094	0.0986841613110654	-0.0882381961070785	0.0414303071596663	-0.282422997311072	0.0986841613110654	0.0894350406588302	0.0986841613110654	0.0986841613110654	0.0927454518460005	0.0986841613110654	0.0986841613110654	0.0986841613110654	0.0939429362322214	0.0986841613110654	0.0977535212623136	0.0986841613110654	0.0986841613110654	0.0986841613110654	0.0986841613110654	0.098400603571602
ENSG00000115486	GGCX	0.366205261753098	0.0813084337581901	0.462111208721474	-1.24177464226393	0.231602428093547	-0.577418976245186	0.376857326466598	0.816674769956732	-0.0244383913422775	-0.00432751715476313	0.698871790595405	-0.782819599402062	-0.317265810544177	1.32052034871625	0.932429323417733	-0.391950868138809	0.684540459676842	0.758524427926063	-0.266214122703587	0.415889210206871	0.385577389319372	0.252267020272562	0.324913602473745	-0.0435817602303713	-0.0268905116746664	-0.0408891765187841	-0.219599161960309	0.780014259374094	0.823563009077064	0.493697989765648
ENSG00000118640	VAMP8	0.854677228201531	0.290430827535499	0.729964007725769	0.984060944018968	-0.107675284896806	-1.68359778448444	0.885535662542947	0.0744240885494561	0.350993936521115	0.299594860407538	0.559274101250053	-1.29918809821721	1.08747013049033	1.05118559592635	1.08404491427591	-1.25334289724465	0.349949770491192	-0.83848685471697	1.06564904973948	0.765464752919505	1.02110568149604	1.08313091766703	-0.0980708598778728	0.978801125625387	1.08747013049033	0.831019323904255	0.490659319051372	1.08747013049033	-0.290462296035019	0.85675479577521
