Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Skin	2568	11	0.937463321572852	1	ENSG00000133056:ENSG00000183734:ENSG00000110092:ENSG00000167695:ENSG00000005884:ENSG00000167644:ENSG00000115507:ENSG00000152256:ENSG00000013297:ENSG00000168769:ENSG00000113430
DEG.up	Small_Intestine	1855	20	0.0101503996417702	0.304511989253107	ENSG00000133056:ENSG00000170382:ENSG00000183734:ENSG00000162344:ENSG00000170421:ENSG00000111057:ENSG00000141293:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000167080:ENSG00000262039:ENSG00000167644:ENSG00000091409:ENSG00000100290:ENSG00000072858:ENSG00000254087:ENSG00000181690
DEG.up	Spleen	2666	25	0.0214752742053368	0.644258226160103	ENSG00000133056:ENSG00000198625:ENSG00000170382:ENSG00000149716:ENSG00000002919:ENSG00000141293:ENSG00000120093:ENSG00000173868:ENSG00000262039:ENSG00000064300:ENSG00000121104:ENSG00000167645:ENSG00000118640:ENSG00000197457:ENSG00000243509:ENSG00000101246:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000072858:ENSG00000043143:ENSG00000180535:ENSG00000205356:ENSG00000254087:ENSG00000181690
DEG.up	Stomach	780	12	0.0033678607457296	0.101035822371888	ENSG00000170421:ENSG00000111057:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000167080:ENSG00000167644:ENSG00000100290:ENSG00000137166:ENSG00000185002:ENSG00000180535
DEG.up	Testis	5947	24	0.997581557291251	1	ENSG00000170382:ENSG00000141252:ENSG00000178852:ENSG00000141293:ENSG00000170703:ENSG00000173868:ENSG00000121104:ENSG00000011332:ENSG00000167642:ENSG00000167641:ENSG00000099338:ENSG00000179168:ENSG00000174562:ENSG00000167751:ENSG00000115504:ENSG00000101216:ENSG00000258366:ENSG00000197114:ENSG00000206530:ENSG00000013297:ENSG00000164362:ENSG00000137166:ENSG00000183117:ENSG00000167034
DEG.up	Thyroid	3732	32	0.0298451807573895	0.895355422721684	ENSG00000198625:ENSG00000149716:ENSG00000170421:ENSG00000111057:ENSG00000004897:ENSG00000259207:ENSG00000178852:ENSG00000005243:ENSG00000002919:ENSG00000167080:ENSG00000064300:ENSG00000005884:ENSG00000167642:ENSG00000167644:ENSG00000174562:ENSG00000167751:ENSG00000115486:ENSG00000118640:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000137166:ENSG00000183807:ENSG00000254087
DEG.up	Uterus	3999	31	0.102285624249301	1	ENSG00000133056:ENSG00000198625:ENSG00000170382:ENSG00000183734:ENSG00000149716:ENSG00000259207:ENSG00000173917:ENSG00000120093:ENSG00000108511:ENSG00000260027:ENSG00000121067:ENSG00000121104:ENSG00000167641:ENSG00000115504:ENSG00000115486:ENSG00000091409:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814
DEG.up	Vagina	2013	17	0.118474664318018	1	ENSG00000133056:ENSG00000183734:ENSG00000111057:ENSG00000167695:ENSG00000173917:ENSG00000260027:ENSG00000159182:ENSG00000159184:ENSG00000167644:ENSG00000091409:ENSG00000100290:ENSG00000163611:ENSG00000168769:ENSG00000113430:ENSG00000183807:ENSG00000153814:ENSG00000181690
DEG.down	Adipose_Tissue	1360	3	0.992343764074596	1	ENSG00000173868:ENSG00000167642:ENSG00000072858
DEG.down	Adrenal_Gland	2994	19	0.502204840609135	1	ENSG00000133056:ENSG00000170382:ENSG00000167695:ENSG00000178852:ENSG00000121104:ENSG00000167644:ENSG00000115504:ENSG00000091409:ENSG00000243509:ENSG00000203896:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000205356
DEG.down	Bladder	103	0	1	1	
DEG.down	Blood	5553	39	0.207999071136783	1	ENSG00000133056:ENSG00000170382:ENSG00000110092:ENSG00000149716:ENSG00000170421:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000260027:ENSG00000159199:ENSG00000159202:ENSG00000121067:ENSG00000005884:ENSG00000005882:ENSG00000167641:ENSG00000167644:ENSG00000115504:ENSG00000014641:ENSG00000168906:ENSG00000115486:ENSG00000091409:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000125520:ENSG00000130584:ENSG00000083937:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000137166:ENSG00000164715
DEG.down	Blood_Vessel	1485	9	0.583088023229312	1	ENSG00000170382:ENSG00000108511:ENSG00000011332:ENSG00000167644:ENSG00000142515:ENSG00000130584:ENSG00000013297:ENSG00000183807:ENSG00000167034
DEG.down	Brain	4950	29	0.6832957287837	1	ENSG00000198625:ENSG00000110092:ENSG00000111057:ENSG00000167695:ENSG00000004897:ENSG00000005243:ENSG00000173917:ENSG00000260027:ENSG00000136436:ENSG00000064300:ENSG00000121104:ENSG00000005884:ENSG00000167644:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000125520:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000254087:ENSG00000181690
DEG.down	Breast	912	0	1	1	
DEG.down	Cervix_Uteri	44	0	1	1	
DEG.down	Colon	1245	6	0.795265947619372	1	ENSG00000167695:ENSG00000141293:ENSG00000130584:ENSG00000013297:ENSG00000183807:ENSG00000254087
DEG.down	Esophagus	1465	6	0.901779877109286	1	ENSG00000141293:ENSG00000260027:ENSG00000072858:ENSG00000013297:ENSG00000254087:ENSG00000181690
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart	8251	46	0.867212122172092	1	ENSG00000133056:ENSG00000198625:ENSG00000149716:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000259207:ENSG00000178852:ENSG00000141279:ENSG00000002919:ENSG00000173917:ENSG00000120093:ENSG00000159202:ENSG00000159210:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167642:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000115486:ENSG00000118640:ENSG00000091409:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000197114:ENSG00000203896:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000013297:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000205356:ENSG00000254087
DEG.down	Kidney	4932	21	0.987415132021046	1	ENSG00000133056:ENSG00000198625:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000173868:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000115504:ENSG00000152256:ENSG00000101216:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000153814:ENSG00000164715:ENSG00000205356:ENSG00000254087
DEG.down	Liver	7196	44	0.595600097079849	1	ENSG00000133056:ENSG00000198625:ENSG00000149716:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000259207:ENSG00000178852:ENSG00000141279:ENSG00000005243:ENSG00000002919:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000136436:ENSG00000159202:ENSG00000159210:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000005882:ENSG00000167642:ENSG00000167641:ENSG00000115504:ENSG00000091409:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000130584:ENSG00000083937:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000153814:ENSG00000164715:ENSG00000205356:ENSG00000254087
DEG.down	Lung	820	4	0.756606933314134	1	ENSG00000064300:ENSG00000005882:ENSG00000115504:ENSG00000180535
DEG.down	Muscle	6093	41	0.299910195237508	1	ENSG00000133056:ENSG00000198625:ENSG00000110092:ENSG00000149716:ENSG00000111057:ENSG00000141252:ENSG00000167695:ENSG00000259207:ENSG00000002919:ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000159202:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000118640:ENSG00000091409:ENSG00000152256:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000197114:ENSG00000203896:ENSG00000130584:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000168769:ENSG00000043143:ENSG00000137166:ENSG00000183807:ENSG00000153814:ENSG00000205356
DEG.down	Nerve	784	6	0.362224840592108	1	ENSG00000170421:ENSG00000111057:ENSG00000152256:ENSG00000072858:ENSG00000167034:ENSG00000254087
DEG.down	Ovary	1429	12	0.17767158376805	1	ENSG00000133056:ENSG00000110092:ENSG00000170421:ENSG00000259207:ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000260027:ENSG00000064300:ENSG00000118640:ENSG00000091409:ENSG00000254087
DEG.down	Pancreas	8671	48	0.890057525480187	1	ENSG00000133056:ENSG00000198625:ENSG00000170382:ENSG00000110092:ENSG00000149716:ENSG00000141252:ENSG00000167695:ENSG00000004897:ENSG00000141279:ENSG00000005243:ENSG00000002919:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000136436:ENSG00000159199:ENSG00000159202:ENSG00000159210:ENSG00000064300:ENSG00000121067:ENSG00000121104:ENSG00000005884:ENSG00000167641:ENSG00000167644:ENSG00000167645:ENSG00000115504:ENSG00000014641:ENSG00000168899:ENSG00000152256:ENSG00000101216:ENSG00000197457:ENSG00000258366:ENSG00000243509:ENSG00000101246:ENSG00000197114:ENSG00000203896:ENSG00000125520:ENSG00000130584:ENSG00000083937:ENSG00000163611:ENSG00000163558:ENSG00000136603:ENSG00000163110:ENSG00000168769:ENSG00000043143:ENSG00000183807:ENSG00000153814:ENSG00000254087
DEG.down	Pituitary	1752	9	0.773652505415364	1	ENSG00000133056:ENSG00000259207:ENSG00000005243:ENSG00000173868:ENSG00000005882:ENSG00000167641:ENSG00000091409:ENSG00000152256:ENSG00000100290
DEG.down	Prostate	698	1	0.988254791414444	1	ENSG00000182742
DEG.down	Salivary_Gland	1666	6	0.953879407468447	1	ENSG00000259207:ENSG00000167641:ENSG00000197457:ENSG00000130584:ENSG00000013297:ENSG00000153814
