ensg	symbol	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole_Blood
ENSG00000133056	PIK3C2B	3.87551815952846	3.71577528658853	2.3043994466203	3.78562838759041	3.55159015379533	3.1158532909589	3.97038511779351	2.54770912147236	2.29655014565045	2.61131093784525	3.21448042970596	3.48106054650217	2.92683925571636	2.64775825120054	3.01854395748311	2.71503563143369	2.44031343640288	2.68356148913941	3.64202139904282	2.88842354071866	3.8605606145633	0.778847533444605	4.1275563961081	3.73720529266664	3.5582060178956	3.50744820159619	3.86644422838523	3.12634402885346	3.93373939147731	2.95192560180518	3.64278964954596	2.92836762609988	2.44862611728224	2.52252051004044	3.62011064288429	1.89515800526065	4.32562124927863	3.16082391514498	2.28334607080139	3.64880866942327	2.42797748301139	1.8888244024528	2.6189868524627	3.43087354785275	4.75814680848859	4.78264044023078	4.07480724518336	4.12034447229863	3.30656211683515	2.2109611249473	3.90900439647714	4.13615134240286	4.14381094582985	1.20912512548911
ENSG00000198625	MDM4	4.31010369416203	4.09394977601356	3.51164824999089	3.92000165762802	4.07113260609025	3.8867635269858	4.24862600287595	2.6388916839183	2.56037421705611	2.7720585046304	4.28693266925243	4.1698203871991	2.67695044999594	2.74498853508363	2.86682846285296	2.9890597019296	2.7388210462994	2.58997033301872	3.59636696493283	2.95091283869553	4.35583172893111	3.42766709785775	4.58018498641245	4.75781669244816	4.84389477085413	4.14180365733912	3.93897706627206	4.03839133076669	3.62577930696135	3.94901338323261	4.70045201107478	3.09844188708132	2.53445539857866	3.20151944656091	3.8794306936414	2.96419773276073	4.54373026754972	3.89804279553937	2.93593096273678	4.85591582185241	4.93705461517477	3.34311389920194	4.55344598076626	4.41159718667922	4.67554287049659	4.57667179300924	4.42151004855586	4.90141011432021	3.80069679469048	4.20956244505074	4.79623431698445	4.7606981655982	4.34255003915399	3.47401185373744
ENSG00000170382	LRRN2	1.13646377456889	2.87933821888911	1.55111123840784	1.07931629860946	1.40211728556593	0.843972637308043	1.62040389417645	2.77212248219789	3.24931154453749	3.00062625316127	3.51460848280439	3.79563218051576	3.53245671704137	3.43134557274159	2.83128000342927	3.44195192152429	3.39352193525058	2.64221239005139	1.520987656386	2.41669675344363	2.1292337779892	0.219512556741756	0.643957509518888	2.22901954132048	2.53098639776175	2.98935108714867	3.05432873869735	2.70810983816906	1.50556078571331	2.656470150807	3.67957283887283	2.40087612229351	0.904047027309042	2.92232452812289	4.01078572218684	0.797510425076765	2.33800073642718	2.17155828165905	0.832253030494428	2.96421261560169	2.16550802464729	1.08315099860862	4.05548609712709	1.89798571809075	0.699165312498365	0.736644804062561	2.95009013444987	3.61611605957284	1.55018579107175	3.07113781515746	2.62526164534099	2.90330032510316	1.96425275016697	1.7183461467167
ENSG00000115504	EHBP1	4.95603361128775	4.63399933205817	3.71423322269214	3.9026606418278	4.6396949497931	4.45228275774596	4.51294532524347	3.75025042396397	4.03855348678491	3.71171401736436	5.21862474492461	4.92935973693761	4.15921143427318	4.55659768278981	3.71264382206254	4.10333087287503	3.66803925786669	3.38886902079116	3.66260712531673	3.96549693815206	4.53199386445426	5.3989889930735	3.98807675861706	5.19465058480732	5.18338827275543	5.42142921873904	4.20789154478658	4.973770306074	4.59056260068486	5.17124256569271	4.95692752657461	3.10854221975291	2.00555539184752	3.02499553135979	3.14986474875111	3.67573781326238	3.7734083950357	4.0478348908769	2.56234538683878	5.67189500027687	5.44708292654654	2.52790615181308	4.1252963418559	4.14081753141574	3.98788921609099	3.98551004060053	3.83111372235826	2.73411891330424	3.6708207815672	5.14267118975368	4.17683134591056	5.35203125565061	4.86254906915207	0.941415877989889
ENSG00000115507	OTX1	0.206775513422739	0.107018967931832	0.0513142293425348	0.0400747319662781	0.0626410846726443	0.0356500961081864	0.0395472033227764	1.62515082563892	1.81205272172052	0.615807816566994	0.0930986705264123	0.0941194158663109	1.95824554390584	1.73361423741033	1.28431511579717	0.92603778671987	0.80023795242392	1.20974326010404	0.0366556455684692	1.07696800842648	0.225325856076504	0.247131671513725	0.434627536936933	0.103691665227903	0.0804557859777609	0.0754109583102482	0.0568407439422501	0.0613333109381322	1.178493928538	0.0558149045330103	0.194434001894585	0.0247487028675519	0.0171937952151347	0.0388677569670333	0.00772525950260559	0.0811975775239735	0.408616335463288	4.79310464676937	0.0235644954032983	0.240623145537754	0.115341564959016	0.251942217314418	0.0732590537974728	0.927192837510147	3.61345554818653	3.88872017425728	0.0569179017499514	0.314250340933077	0.344531435466519	0.919395889333348	0.11740413513875	0.0647530616915444	0.23557407487149	1.35554092560763
ENSG00000143951	WDPCP	1.65905011824618	1.52614645654663	1.02447827435477	1.74560717501909	1.55106222885166	1.55252454693505	1.20053694134974	0.73458018799626	0.840520217537278	0.958288670898719	1.30665287279982	1.26617988738122	1.00179769235383	1.06480582616936	0.873804243322361	0.953251219109365	1.08414820912895	0.825897070676459	1.31874084781672	0.821475741430307	1.54801832683163	1.30901878999673	1.3397265923013	1.66223922505772	1.67783625676722	1.16836536934698	0.802729076639786	1.01418886524858	0.680505716062561	0.970269812798871	1.7610713101648	1.13016380117427	0.905897097893082	0.864596446192859	0.900430260006134	0.458120723856695	1.38246463561212	1.06168087632922	0.976686850510911	1.76257950767372	1.81655136343409	0.525119296592931	1.58313647947561	1.16821820685974	1.3186070351946	1.3659615615706	0.880546113518933	1.00090744687632	1.03753081260718	1.80272483144359	1.56351544042596	1.77792888307405	1.27682994961304	0.345922021420872
ENSG00000014641	MDH1	5.6710403808675	5.64845877870742	5.66089272985621	5.6724253419715	5.66193249414711	5.67134026293154	5.66078324628283	5.49562119711346	5.58925786673974	5.51470764499517	5.6555072348833	5.67149237041373	5.65801037155249	5.64839475748493	5.47202396079688	5.57849055023909	5.51624913912379	5.46827045784927	5.5400264293722	5.49665758199137	5.66621334775842	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.6683073896845	5.66795644698698	5.64558494631025	5.62982994795701	5.66127128065127	5.6724253419715	5.6639076383661	5.47285486582185	5.64213278619953	5.6724253419715	5.41915115858293	5.59770085040973	5.66005973559335	5.66415071714435	5.67082311656883	5.66808729093647	4.5608292292942	5.6724253419715	5.61404783588216	5.63448971718326	5.65165742483368	5.66074986360462	5.64428302643026	5.66538727030008	5.60876404426282	5.66681402374175	5.66267344732596	5.65664608100219	4.00039071121028
ENSG00000168906	MAT2A	5.6724253419715	5.67207848433079	5.6724253419715	5.6724253419715	5.6724253419715	5.67222714259165	5.6724253419715	5.40809737362506	5.48546320435792	5.59133421942845	5.65547027464346	5.67199091301437	5.65118561645178	5.59685496886247	5.43113593241341	5.54351580011513	5.45951970959796	5.47000511418359	5.59330584685236	5.49623802063855	5.67197212150287	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.66938082888812	5.6724253419715	5.66979471478876	5.6680331825242	5.67186431727216	5.6724253419715	5.60560303693098	5.36623696031723	5.61247718880121	5.6724253419715	5.29131818334936	5.6724253419715	5.6724253419715	5.66317622131926	5.6724253419715	5.6724253419715	5.66648663250643	5.6724253419715	5.6724253419715	5.66852986806352	5.6635465831595	5.6724253419715	5.67149470192274	5.6724253419715	5.6724253419715	5.6724253419715	5.6724253419715	5.67214178423203	4.19287652481794
ENSG00000115486	GGCX	3.50792952208697	3.65028022022981	3.28699592307485	3.58717460432579	3.63301872416078	3.26877544023424	3.66779869803814	2.16154858510136	2.30878983175366	2.40926758334525	3.80291344996614	3.84615683340901	2.5573914114633	2.59477284688484	2.26108823009157	2.24068207824474	2.39963275032761	2.17658006833773	2.72644385595112	2.22478677965436	3.58254481578326	4.53843517934171	2.78359520077036	3.96452211500912	4.07441838911123	3.30559743268564	3.067007893917	3.27618957347222	3.16939928346131	3.18131547068123	3.90455927991207	2.78986109809553	2.05842324567937	2.87841269884357	3.10111250226202	4.52620783803291	4.13811681273439	3.45795450958922	2.81373662117785	3.8902279489935	3.96421191724272	2.93947336661307	3.62157669952353	3.59126487863603	3.16968698333213	3.11696876851357	3.16210572908629	3.17879697764199	3.16479831279788	2.98608832735635	3.98570174869076	4.02925049839372	3.69938547908231	1.77500592050058
ENSG00000118640	VAMP8	5.34592857792366	5.55446730169053	4.87538603901666	4.83514507600612	5.09055782411783	4.02209977581778	5.31491921920693	3.12861915962289	2.67564117154181	3.00748168966929	2.13959311212029	2.13002790013552	2.51486735467687	2.60486697144705	3.12844898969727	3.3944744617774	2.77190632800439	2.85427905007753	4.58337134548982	3.75730039109241	5.47049087402411	1.41885379259931	5.6724253419715	4.46451763954728	4.83475479446562	4.47241714165187	5.3618049075311	4.34806879115146	5.6713063271242	4.42732824396785	5.14422931273121	3.82660305782027	2.74868697387817	5.6724253419715	5.6724253419715	5.63614080740751	5.66900012575707	5.66808612914819	3.33161231423651	4.93490498197235	3.74646835676419	5.65060426122064	5.35041996440067	5.6060608929772	5.6724253419715	5.67122193156849	5.56375633710655	5.6724253419715	5.41597453538542	5.07561453053253	5.6724253419715	4.29449291544614	5.44171000725637	5.54518410457825
